Category,Feature,Square,Mindbody,Acuity,GlossGenius,Phorest,Vagaro,Booksy,Fresha
Service & slot discovery,Service catalog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Service & slot discovery,Real-time slot availability,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Service & slot discovery,Staff/provider list,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Service & slot discovery,Multi-location,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Book single service,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Multi-service cart,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Add-on services,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Couple / 2-resource (same slot),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Party / group booking (3+),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Class / group fitness booking,Yes,Yes,Yes,No,No,Yes,No,Yes
Booking actions,Staff preference,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Any-available-staff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Recurring appointments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking actions,Waitlist,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Book with NO card info at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Book with card saved (no charge now),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Card saved only for no-show/late-cancel fee,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Book with fixed $ deposit charged now,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Book with % deposit charged now,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Booking payment modes,Book with full prepayment (100% upfront),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Card-on-file,Save card on file,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Card-on-file,Charge saved card,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Deposit configurability,Per-service deposit rules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Deposit configurability,Deposit for first-time clients only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Deposit configurability,Deposit only above $ threshold,No,Yes,No,No,Yes,Yes,No,No
